фракция	тип	кол-во	название	тир	дистанция/защита/хп	описание
Ткачи	Модуль	1	Квантовый компас	2	—	В начале хода вы можете посмотреть 2 верхние карты колоды и убрать их вниз колоды, либо оставить наверху.
Ткачи	Строение	1	Системы самонаведения	—	ХП: 5	Оружие ваших мехов получает +1 к дистанции.
Ткачи	Строение	1	Монолит созидания	—	ХП: 5	Раз в ход: когда берете карту с Базара, можете экипировать её на меха, игнорируя тиры.
Скраперы	Оружие	2	Цепной тесак	1	Дист: 1	4 урона. Себе 1 урона.
Скраперы	Оружие	2	Дробовик «Каскад»	1	Дист: 1	2 урона. Ещё 2 урон другому юниту на этой линии.
Скраперы	Оружие	2	Ржавая ракетница	2	Дист: 4	3 урона всем юнитам на выбранной линии и 1 урона себе.
Скраперы	Оружие	1	Турботаран	2	Дист: 1	4 урона и Отбрасывание, если цель строение: доп 3 урона.
Скраперы	Оружие	1	Ядерный миномёт	3	Дист: 3	4 урона всем на целевой линии и 1 урона всем своим юнитам
Скраперы	Броня	1	Сварная броня	1	Защита: 1	Когда этот мех получает урон от атаки с дистанции 1, атакующий получает 1 урон.
Скраперы	Броня	1	Турбокожух	2	Защита: 2	Перед атакой этот мех может переместиться на 1 линию.
Скраперы	Броня	1	Броня «Красный форсаж»	2	Защита: 1	Если на этом мехе есть повреждения, его атаки наносят +2 урона.
Скраперы	Модуль	1	Перегрузка двигателя	1	—	Когда этот мех атакует, он получает 1 повреждение, а его атака наносит +1 урон.
Скраперы	Модуль	1	Шипованный бампер	1	—	Атаки с дистанции 1 этого меха получают Отбрасывание.
Скраперы	Строение	1	Разборочная	—	ХП: 5	В начале вашего хода, если ваш мех был уничтожен, создайте на его месте Каркас т1.
Скраперы	Строение	1	Свалка	—	ХП: 5	В начале вашего хода вы можете сбросить до 2 карт с Базара и заменить их новыми из колоды.
Биотек	Оружие	2	Кислотный выброс	1	Дист: 3	3 урона. Если цель заражена, повреждения на ней в этот раунд не снижаются защитой.
Биотек	Оружие	3	Споровая плевательница	1	Дист: 3	1 урон и 1 инфекция.
Биотек	Оружие	1	Костяные серпы	2	Дист: 1	3 урона. Если цель заражена — +2 урон.
Биотек	Оружие	2	Пиявочный гарпун	2	Дист: 2	2 урона. Снимите до 2 повреждений с этого меха.
Биотек	Оружие	2	Колония спор	3	Дист: 3	2 урона и 1 инфекция всем юнитам на выбранной линии.
Биотек	Броня	1	Адаптивная мембрана	1	Защита: 1	Первая атака по этому меху в каждом раунде наносит на 1 урон меньше.
Биотек	Броня	1	Токсичный панцирь	2	Защита: 3	В начале вашего хода положите каунтер инфекции на меха.
Биотек	Броня	1	Симбиотический кокон	2	Защита: 2	Враги с инфекцией наносят на 2 урона меньше по этому меху.
Биотек	Модуль	1	Железа инфекции	1	—	Когда этот мех наносит урон, положите на цель 1 жетон инфекции.
Биотек	Модуль	1	Регенеративный узел	1	—	В начале вашего хода снимите 1 повреждение с этого меха и 1 с соседнего союзного меха.
Биотек	Строение	1	Выводковый улей	—	ХП: 5	Удваивает урон от инфекции вражеским юнитам.
Биотек	Строение	1	Споровый колодец	—	ХП: 4	В начале хода противника все его мехи на зеркальной линии получают 1 инфекцию.
Техновирус	Оружие	2	Вирусный инъектор	1	Дист: 2	1 урон. Отключите обвес цели до начала следующего хода её владельца.
Техновирус	Оружие	2	Луч перехвата	1	Дист: 3	2 урона. Если цель уже повреждена, её оружие отключается до начала следующего хода владельца.
Техновирус	Оружие	2	Репликатор осколков	2	Дист: 3	3 урона. Если цель уничтожена, создайте на этой линии Каркас т1 на своей стороне.
Техновирус	Оружие	1	Шифр-паразит	2	Дист: 2	3 урона. Если цель повреждена, вместо урона можете забрать 1 её обвес на этот мех, игнорируя фракцию и тиры.
Техновирус	Оружие	1	Протокол ассимиляции	3	Дист: 4	2 урона. Если цель уничтожена, возьмите ее под контроль.
Техновирус	Броня	2	Редундантный корпус	1	Защита: 1	Если этот мех уничтожен, вместо сброса эта броня становится Каркасом 1 на той же линии.
Техновирус	Броня	1	Сетевая обшивка	2	Защита: 1	В начале вашего хода, снимите с соседнего меха 2 повреждения.
Техновирус	Броня	1	Карантинный кожух	2	Защита: 1	Когда этот мех получает урон, один обвес атакующего отключается.
Техновирус	Модуль	1	Роевой протокол	1	—	Атаки этого меха наносят +1 урон за каждого другого юнита фракции Техновируса.
Техновирус	Модуль	1	Перехват сигнала	1	—	Этот мех может устанавливать на себя обвесы любой фракции.
Техновирус	Строение	1	Узел репликации	—	ХП: 5	В конце вашего хода, если вражеский мех был уничтожен в этот ход, создайте на своей линии Каркас т1.
Техновирус	Строение	1	Башня подавления	—	ХП: 5	Вражеские модули и броня на зеркальной линии отключены.
